W1_001 are
W1_002 bad
W1_003 bar
W1_004 bask
W1_005 box
W1_006 cane
W1_007 cleanse
W1_008 clove
W1_009 crash
W1_010 creed
W1_011 death
W1_012 deed
W1_013 dike
W1_014 dish
W1_015 end
W1_016 feast
W1_017 fern
W1_018 folk
W1_019 ford
W1_020 fraud
W1_021 fuss
W1_022 grove
W1_023 heap
W1_024 hid
W1_025 hive
W1_026 hunt
W1_027 is
W1_028 mange
W1_029 no
W1_030 nook
W1_031 not
W1_032 pan
W1_033 pants
W1_034 pest
W1_035 pile
W1_036 plush
W1_037 rag
W1_038 rat
W1_039 ride
W1_040 rise
W1_041 rub
W1_042 slip
W1_043 smile
W1_044 strife
W1_045 such
W1_046 then
W1_047 there
W1_048 toe
W1_049 use
W1_050 wheat
W1_051 as
W1_052 badge
W1_053 best
W1_054 bog
W1_055 chart
W1_056 cloth
W1_057 clothes
W1_058 cob
W1_059 crib
W1_060 dad
W1_061 thep
W1_062 wab
W1_063 neb
W1_064 gab
W1_065 chab
W1_066 fab
W1_067 tap
W1_068 dep
W1_069 kep
W1_070 cheb
W1_071 rap
W1_072 thep
W1_073 pep
W1_074 shap
W1_075 gap
W1_076 theb
W1_077 gep
W1_078 keb
W1_079 wap
W1_080 whep
W1_081 bep
W1_082 zeb
W1_083 check
W1_084 dap
W1_085 mep
W1_086 pab
W1_087 whap
W1_088 dab
W1_089 nap
W1_090 rep
W1_091 leb
W1_092 cap
W1_093 chick
W1_094 yab
W1_095 meb
W1_096 hep
W1_097 pap
W1_098 thap
W1_099 sheck
W1_100 yap
W1_101 lab
W1_102 dep
W1_103 deb
W1_104 chep
W1_105 jep
W1_106 map
W1_107 jab
W1_108 seb
W1_109 peb
W1_110 zep
W1_111 vap
W1_112 wheb
W1_113 wep
W1_114 mab
W1_115 hip
W1_116 reb
W1_117 zab
W1_118 thap
W1_119 cab
W1_120 tep
W1_121 sab
W1_122 feb
W1_123 thab
W1_124 nep
W1_125 fap
W1_126 bick
W1_127 theb
W1_128 shab
W1_129 hap
W1_130 thab
W1_131 heb
W1_132 beb
W1_133 lap
W1_134 vab
W1_135 beck
W1_136 yeb
W1_137 hep
W1_138 whab
W1_139 chep
W1_140 tab
W1_141 nab
W1_142 sap
W1_143 bap
W1_144 web
W1_145 geb
W1_146 lep
W1_147 dip
W1_148 yep
W1_149 hab
W1_150 zap
W1_151 jeb
W1_152 veb
W1_153 sep
W1_154 shep
W1_155 Jap
W1_156 sheb
W1_157 vep
W1_158 fep
W1_159 rab
W1_160 chap
W1_161 chip
W1_162 bab
W1_163 teb
W1_164 chic
W1_165 lack
W1_166 robe
W1_167 luck
W1_168 sailing
W1_169 sink
W1_170 mitt
W1_171 burn
W1_172 rope
W1_173 bitch
W1_174 barn
W1_175 selling
W1_176 stuck
W1_177 sing
W1_178 pitch
W1_179 stock
W1_180 meat
W1_181 accessory
W1_182 kangaroo
W1_183 technology
W1_184 escalator
W1_185 dessert
W1_186 percent
W1_187 spaghetti
W1_188 volunteer
W1_189 cigarette
W1_190 millionaire
W1_191 dialect
W1_192 innovation
W1_193 academician
W1_194 epistemology
W1_195 I’d like to make hotel reservation.
W1_196 Chimpanzees like bananas very much.
W1_197 Where’s the elevator?
W1_198 He has a bad image.
W1_199 a black bird
W1_200 a blackbird
W1_201 a dark room
W1_202 a darkroom
W1_203 a light housekeeper
W1_204 a lighthouse keeper
W1_205 the brief case
W1_206 the briefcase
W1_207 almond-eyed
W1_208 broad-minded
W1_209 free-range
W1_210 blue-black
W1_211 forward-looking
W1_212 built-in
W1_213 cross-examine
W1_214 foresee
W1_215 outdo
W1_216 overcharge
W1_217 underestimate
W1_218 babysit
W1_219 labor union president
W1_220 post office box
W1_221 decision-making process
W1_222 market closing time
W1_223 What does she teach at her university?
W1_224 She’s a French teacher.
W1_225 Is she an American teacher?
W1_226 She’s a French teacher.
