W3_0001 ache
W3_0002 air
W3_0003 bald
W3_0004 barb
W3_0005 bead
W3_0006 cape
W3_0007 cast
W3_0008 check
W3_0009 class
W3_0010 crave
W3_0011 crime
W3_0012 deck
W3_0013 dig
W3_0014 dill
W3_0015 drop
W3_0016 fame
W3_0017 far
W3_0018 fig
W3_0019 flush
W3_0020 gnaw
W3_0021 hurl
W3_0022 jam
W3_0023 law
W3_0024 leave
W3_0025 lush
W3_0026 muck
W3_0027 neck
W3_0028 nest
W3_0029 oak
W3_0030 path
W3_0031 please
W3_0032 pulse
W3_0033 rate
W3_0034 rouse
W3_0035 shout
W3_0036 sit
W3_0037 size
W3_0038 sob
W3_0039 sped
W3_0040 stag
W3_0041 take
W3_0042 thrash
W3_0043 toil
W3_0044 trip
W3_0045 turf
W3_0046 vow
W3_0047 wedge
W3_0048 wharf
W3_0049 who
W3_0050 why
W3_0051 gap
W3_0052 grope
W3_0053 hitch
W3_0054 hull
W3_0055 jag
W3_0056 kept
W3_0057 leg
W3_0058 mash
W3_0059 nigh
W3_0060 ode
W3_0061 vack
W3_0062 pip
W3_0063 meck
W3_0064 rep
W3_0065 bag
W3_0066 thack
W3_0067 leck
W3_0068 feck
W3_0069 rack
W3_0070 nip
W3_0071 geg
W3_0072 Meg
W3_0073 cheg
W3_0074 zag
W3_0075 reg
W3_0076 jag
W3_0077 veck
W3_0078 keck
W3_0079 whag
W3_0080 nag
W3_0081 kack
W3_0082 pag
W3_0083 yack
W3_0084 hag
W3_0085 nep
W3_0086 gag
W3_0087 Mick
W3_0088 lack
W3_0089 fack
W3_0090 thag
W3_0091 heg
W3_0092 lick
W3_0093 weck
W3_0094 leg
W3_0095 peg
W3_0096 veg
W3_0097 shack
W3_0098 yag
W3_0099 vag
W3_0100 gack
W3_0101 sheg
W3_0102 keg
W3_0103 lag
W3_0104 back
W3_0105 yeg
W3_0106 rip
W3_0107 peck
W3_0108 zeg
W3_0109 chack
W3_0110 teck
W3_0111 geck
W3_0112 shag
W3_0113 jeck
W3_0114 wheck
W3_0115 chag
W3_0116 theck
W3_0117 mag
W3_0118 theg
W3_0119 beck
W3_0120 thag
W3_0121 dag
W3_0122 whack
W3_0123 sheck
W3_0124 theck
W3_0125 beg
W3_0126 yeck
W3_0127 rag
W3_0128 sack
W3_0129 seg
W3_0130 wag
W3_0131 neck
W3_0132 pack
W3_0133 deck
W3_0134 Nick
W3_0135 wheg
W3_0136 Jack
W3_0137 teg
W3_0138 thack
W3_0139 nack
W3_0140 jeg
W3_0141 wack
W3_0142 heck
W3_0143 zack
W3_0144 feg
W3_0145 hack
W3_0146 tag
W3_0147 reck
W3_0148 neck
W3_0149 kag
W3_0150 leck
W3_0151 sag
W3_0152 mack
W3_0153 dack
W3_0154 deg
W3_0155 check
W3_0156 tack
W3_0157 meck
W3_0158 weg
W3_0159 fag
W3_0160 zeck
W3_0161 pep
W3_0162 theg
W3_0163 seck
W3_0164 neg
W3_0165 region
W3_0166 measure
W3_0167 wing
W3_0168 crime
W3_0169 Dan
W3_0170 legion
W3_0171 sudden
W3_0172 breathe
W3_0173 major
W3_0174 button
W3_0175 climb
W3_0176 win
W3_0177 then
W3_0178 lone
W3_0179 long
W3_0180 breed
W3_0181 penalty
W3_0182 influenza
W3_0183 delicate
W3_0184 democracy
W3_0185 electric
W3_0186 electronic
W3_0187 desert
W3_0188 pattern
W3_0189 differentiate
W3_0190 intercommunicate
W3_0191 totalitarian
W3_0192 inferiority
W3_0193 theatricality
W3_0194 instrumental
W3_0195 Oranges grow in warm climates.
W3_0196 Do olives grow in the United States?
W3_0197 That’s a good idea.
W3_0198 What kind of ice cream would you like?
W3_0199 Vanilla, please.
W3_0200 apple pie
W3_0201 apple polisher
W3_0202 bamboo curtain
W3_0203 bamboo shoot
W3_0204 orange sherbet
W3_0205 orange peel
W3_0206 fed-up
W3_0207 black-and-white
W3_0208 one-to-many
W3_0209 college-bound
W3_0210 moonlit
W3_0211 waterproof
W3_0212 blackmail
W3_0213 checkmate
W3_0214 dovetail
W3_0215 eavesdrop
W3_0216 handwrite
W3_0217 kidnap
W3_0218 concert music stand
W3_0219 life insurance policy
W3_0220 labor union scandals committee
W3_0221 education system study mission
W3_0222 What does she teach at her university?
W3_0223 She’s a French teacher.
W3_0224 Is she an American teacher?
W3_0225 She’s a French teacher.
