TEST CATEGORY: Jp Female vs Am Female
DATE: 2025-12-26 19:11:06.218732
==================================================
MEAN GLOBAL DRIFT: 2.062500
MEAN STABILITY RATIO: 2895580.602728

Phoneme    Drift
      ɾ 6.808594
      m 5.113281
     ɡʷ 4.863281
      ɫ 3.267578
     ɟʷ 3.119141
      ɝ 3.058594
      ð 2.972656
     ɾʲ 2.886719
      l 2.750000
      ʎ 2.742188
      ɚ 2.562500
      t 2.541016
     vʲ 2.511719
     tʷ 2.488281
      ʒ 2.484375
      n 2.451172
      θ 2.427734
     tʲ 2.345703
      ɹ 2.070312
     ɑː 2.048828
     ow 2.046875
     tʰ 2.033203
     ɒː 2.007812
     kʷ 2.001953
      v 1.993164
      ɐ 1.931641
      æ 1.927734
      ɪ 1.922852
     dʲ 1.893555
     aw 1.870117
      w 1.863281
     ʉː 1.826172
     dʒ 1.826172
      ə 1.825195
     tʃ 1.815430
      ʊ 1.813477
     cʷ 1.800781
      c 1.791992
     fʲ 1.791016
      ʉ 1.782227
      ɒ 1.689453
      ɑ 1.689453
      ʃ 1.675781
      ŋ 1.673828
      ɛ 1.668945
      f 1.638672
     iː 1.638672
     ɔj 1.627930
     pʰ 1.618164
      d 1.592773
      z 1.573242
      i 1.570312
      h 1.535156
     kʰ 1.516602
     ej 1.516602
     pʲ 1.489258
     cʰ 1.456055
     bʲ 1.349609
      ɲ 1.332031
      p 1.312500
      k 1.276367
      j 1.265625
      ɡ 1.254883
      ɟ 1.253906
      b 1.235352
     mʲ 1.190430
     aj 1.179688
      s 1.133789
