TEST CATEGORY: Jp Male vs Am Male
DATE: 2025-12-26 19:11:06.825403
==================================================
MEAN GLOBAL DRIFT: 2.236328
MEAN STABILITY RATIO: 2660415.709026

Phoneme    Drift
      ɾ 8.945312
     ɡʷ 5.332031
     ɟʷ 3.923828
      m 3.861328
      l 3.636719
      ɫ 3.505859
      ʎ 3.496094
      ɝ 3.423828
      ð 3.306641
     ɾʲ 3.261719
      ɚ 3.017578
     vʲ 2.808594
     tʷ 2.802734
      t 2.630859
      θ 2.613281
      n 2.587891
     tʲ 2.585938
      ʒ 2.400391
     ɑː 2.308594
      ɹ 2.275391
     cʷ 2.273438
      v 2.197266
     kʷ 2.179688
     tʰ 2.156250
      ɪ 2.095703
      ɐ 2.050781
      æ 2.035156
     fʲ 2.019531
     dʲ 2.009766
      ə 2.009766
      z 2.003906
      c 2.000000
     ow 1.950195
     ɒː 1.931641
      w 1.922852
     tʃ 1.887695
      f 1.854492
      ʊ 1.835938
     ʉː 1.828125
      ŋ 1.820312
     dʒ 1.803711
      ɑ 1.796875
      d 1.791992
     aw 1.790039
      ʉ 1.778320
      i 1.761719
      ɒ 1.730469
      ɛ 1.707031
      ʃ 1.651367
     pʲ 1.639648
     kʰ 1.619141
     ɔj 1.618164
      h 1.611328
     pʰ 1.603516
     iː 1.594727
      s 1.501953
     ej 1.501953
      ɲ 1.489258
     cʰ 1.429688
      k 1.395508
     bʲ 1.392578
      p 1.358398
      ɡ 1.351562
      j 1.346680
     aj 1.305664
      ɟ 1.295898
     mʲ 1.283203
      b 1.220703
