TEST CATEGORY: Global Aggregate Composite
DATE: 2025-12-26 19:11:07.028905
==================================================
MEAN GLOBAL DRIFT: 2.072266
MEAN STABILITY RATIO: 0.966874

Phoneme    Drift
      ɾ 6.101562
     ɡʷ 4.937500
      m 4.246094
      ɫ 3.353516
     ɟʷ 3.332031
      ɝ 3.191406
      l 3.144531
      ð 3.130859
      ʎ 3.082031
     ɾʲ 2.953125
      ɚ 2.742188
     vʲ 2.630859
     tʷ 2.580078
      t 2.523438
      θ 2.501953
     tʲ 2.416016
      n 2.371094
      ʒ 2.363281
      ɹ 2.140625
     ɑː 2.095703
     tʰ 2.062500
      v 2.062500
     kʷ 2.035156
     ow 1.978516
     cʷ 1.974609
      ɪ 1.971680
      ɐ 1.954102
      æ 1.953125
     ɒː 1.929688
     dʲ 1.915039
      ə 1.888672
     fʲ 1.863281
      w 1.862305
      c 1.858398
     aw 1.815430
      ʊ 1.809570
     tʃ 1.782227
     ʉː 1.777344
     dʒ 1.772461
      ʉ 1.739258
      f 1.720703
      ɑ 1.705078
      z 1.702148
      ɒ 1.686523
      ŋ 1.662109
      d 1.656250
      ɛ 1.640625
      ʃ 1.617188
      i 1.611328
     pʰ 1.583008
     ɔj 1.568359
     iː 1.567383
      h 1.537109
     kʰ 1.529297
     pʲ 1.525391
     ej 1.471680
     cʰ 1.408203
      ɲ 1.359375
     bʲ 1.335938
      p 1.288086
      k 1.282227
      j 1.272461
      ɡ 1.255859
      ɟ 1.222656
      s 1.208984
      b 1.202148
     aj 1.187500
     mʲ 1.164062
